,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Ireland,75.67551757278416,75.01921667568966,78.18311103911428,80.96223887874595,119.76305204310832,163.93707165502994,198.1909053218484,208.26410426117857,178.8800910074905,267.66441488011503,168.393717270818,217.2923235394405,170.22644454455153,104.0,115.0,113.0,109.0,127.0,105.0,127.0,164.0,187.0,208.0,215.0,214.0,174.0,227.0,185.0,225.0,225.0,236.0,221.0,235.0,246.00701132648348,312.0822916317868
Hungary,17.089127764419974,27.726040969499376,27.72998561916544,30.434392409084783,62.18407354558739,93.75041615703906,120.40090923657408,122.51177831317742,83.61360546293092,93.81674472154512,67.14804158777255,52.0,47.0,31.0,42.0,38.0,40.0,39.1689877790366,32.0,34.0,28.0,25.0,25.0,27.0,31.0,17.0,14.0,24.0,31.0,23.0,25.0,29.0,33.0,33.0,43.0
Greece,10.0,28.0,56.0,62.0,72.0,66.0,79.0,79.0,78.0,146.0,176.0,222.0,232.0,245.0,265.0,304.0,321.0,259.0,217.0,255.0,325.0,253.0,242.0,208.0,229.0,151.0,107.0,73.0,70.0,63.0,77.0,66.0,57.0,82.0,72.0
Germany,324.0,348.0,442.0,620.0,991.0,1491.0,2125.0,2099.0,1738.0,1624.0,1565.0,1712.0,1501.0,1674.0,1812.0,2030.0,1835.0,1513.0,1477.0,1385.0,1326.0,1296.0,1394.0,1449.0,1331.0,1237.0,986.0,944.0,1002.0,1032.0,1226.0,1333.0,1272.0,1276.0,1398.0
France,131.0,126.0,140.0,161.0,226.0,350.0,411.0,499.0,454.0,564.0,465.0,393.0,228.0,143.0,118.0,247.0,272.0,242.0,231.0,267.0,301.0,305.0,333.0,374.0,365.0,392.0,340.0,264.0,349.0,370.0,373.0,465.0,474.9944042087554,363.0997486216637,476.8785241022748
Finland,48.09475948964266,45.56643592872932,16.0,11.0,23.0,41.0,34.0,27.0,26.0,35.0,51.0,107.0,98.0,84.0,119.0,134.0,110.0,97.0,101.0,135.0,126.0,138.0,143.0,169.0,175.0,156.0,197.0,213.0,201.0,176.0,166.0,194.0,200.0,261.0,234.0
Estonia,22.01808964295093,24.349564997532347,5.211156367452412,7.014436653397851,3.385564890147172,1.6392308584743829,0.0,16.09623517745282,24.97453940092297,108.20047061373114,69.76651750363453,56.96214953154124,4.0,7.0,22.0,31.0,45.0,86.0,36.0,98.0,57.0,68.0,81.0,67.0,133.0,101.0,123.0,170.0,111.0,98.0,88.0,114.0,110.0,39.0,27.0
Denmark,55.08642427879166,58.96927849591826,52.78516256762585,74.30171756569587,97.74174767505878,123.0,169.0,166.0,187.0,284.0,214.0,242.0,256.0,243.0,239.0,247.0,258.0,294.5380907495408,210.9005595386335,224.73338012159576,207.0,227.0,246.0,267.0,277.0,254.0,301.0,249.0,249.0,249.0,203.0,237.0,238.0,173.0,214.11798309419493
Czechia,23.961965915513783,36.29413272462601,45.756908656164825,59.110485195996645,95.42159348152734,137.46962105375783,169.5757120077174,170.78253474321028,126.28262822639093,111.87309074284344,117.43509344255106,113.657873237861,74.22445858714536,61.0,79.0,80.0,84.0,44.0,55.0,57.0,62.0,42.0,40.0,44.0,49.0,55.0,28.0,38.0,33.53453312114351,36.06753861375483,44.0,32.0,42.0,39.0,42.0
Cyprus,14.234531047072164,29.42150031067479,31.83434973186856,50.57161291289764,90.3930216845772,139.1685418670782,190.0647923030268,156.63489905688135,116.49650951402351,82.5449920338154,69.69329749017099,87.05439901066994,92.98308776594106,92.38406408452876,111.34367866173696,85.60456316579169,66.72779949196426,49.56041986057988,42.66637954239082,14.0,9.0,7.0,12.0,11.0,12.0,9.0,8.0,5.0,3.0,6.0,9.0,6.0,16.0,12.0,5.0
Croatia,13.937530238575272,21.660041108479824,9.004498005826447,0.0,19.501918412056582,41.08811460332118,55.97677617533904,78.26679516109186,50.03021046729358,82.16852563669708,47.0,33.0,36.0,34.0,48.0,51.0,64.0,52.0,57.0,88.0,84.0,72.0,115.0,87.0,61.0,73.0,59.0,49.0,48.0,59.0,54.0,56.0,65.0,85.0,97.0
Bulgaria,4.201509647033812,13.336933793040766,0.0,0.0,3.161584533058137,24.0,10.0,8.0,9.0,8.0,19.0,11.0,16.0,21.0,28.0,41.0,24.0,13.0,15.0,26.0,40.0,29.0,52.0,74.0,38.0,41.0,25.0,24.0,21.0,15.0,17.0,22.0,18.0,24.0,11.0
Belgium,65.80025131255431,62.342269437676215,17.0,33.0,26.0,50.0,63.0,64.0,123.0,122.0,132.0,137.0,123.0,48.0,113.0,53.36398761784298,0.0,49.95343659760954,97.0,74.0,105.0,86.0,118.0,146.0,155.0,106.0,94.0,72.0,74.0,61.0,91.85398855240366,307.62863920790454,351.7180873259932,248.2418860042615,132.76568071416685
Austria,40.00631959479432,44.52764610290155,29.39514044610305,30.58715783818001,40.0,43.0,71.0,129.0,156.0,173.0,170.0,191.0,136.0,109.0,128.0,167.0,139.0,139.0,163.0,185.0,191.0,197.0,175.0,201.0,206.0,187.0,201.0,161.0,138.0,122.0,153.0,165.0,154.0,184.0,196.0
